county,FIPS,date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
Pickaway County OH,39129,03/02,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/03,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/04,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/05,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/06,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/07,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/08,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/09,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/10,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/11,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/12,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/13,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/14,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/15,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/16,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/17,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/18,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/19,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/20,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/21,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/22,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/23,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/24,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/25,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/26,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/27,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/28,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/29,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/30,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/31,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/01,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/02,0.00,0.00,0.00,0.00,0.00,0.00
